Tank Level (in),Gallons,Tank Size (gal)
56.73228346456693,0.0,1070.0
56.5748031496063,1.0,1070.0
56.417322834645674,2.0,1070.0
56.259842519685044,3.0,1070.0
56.22047244094488,4.0,1070.0
56.06299212598425,5.0,1070.0
55.70866141732284,10.2,1070.0
54.52755905511811,20.4,1070.0
53.70078740157481,30.6,1070.0
52.874015748031496,40.8,1070.0
52.16535433070867,51.0,1070.0
51.653543307086615,61.2,1070.0
50.82677165354331,71.4,1070.0
50.15748031496063,81.6,1070.0
49.60629921259843,91.8,1070.0
49.05511811023622,102.0,1070.0
47.874015748031496,120.0,1070.0
46.73228346456693,140.0,1070.0
45.70866141732284,160.0,1070.0
44.76377952755906,180.0,1070.0
43.66141732283465,200.0,1070.0
42.59842519685039,220.0,1070.0
41.61417322834646,240.0,1070.0
40.74803149606299,260.0,1070.0
39.724409448818896,280.0,1070.0
38.77952755905512,300.0,1070.0
37.91338582677166,320.0,1070.0
37.04724409448819,340.0,1070.0
36.102362204724415,360.0,1070.0
35.23622047244095,380.0,1070.0
34.37007874015748,400.0,1070.0
33.54330708661418,420.0,1070.0
32.71653543307087,440.0,1070.0
31.811023622047244,460.0,1070.0
30.866141732283467,480.0,1070.0
30.03937007874016,500.0,1070.0
29.291338582677167,520.0,1070.0
28.34645669291339,540.0,1070.0
27.51968503937008,560.0,1070.0
26.653543307086615,580.0,1070.0
25.551181102362207,600.0,1070.0
24.763779527559056,620.0,1070.0
23.897637795275593,640.0,1070.0
23.11023622047244,660.0,1070.0
22.244094488188978,680.0,1070.0
21.41732283464567,700.0,1070.0
20.590551181102363,720.0,1070.0
19.56692913385827,740.0,1070.0
18.661417322834648,760.0,1070.0
17.79527559055118,780.0,1070.0
16.811023622047244,800.0,1070.0
15.94488188976378,820.0,1070.0
15.078740157480317,840.5,1070.0
14.05511811023622,860.0,1070.0
13.1496062992126,880.0,1070.0
12.086614173228346,900.0,1070.0
10.984251968503937,920.0,1070.0
9.881889763779528,940.0,1070.0
8.779527559055119,960.0,1070.0
7.440944881889764,980.0,1070.0
6.653543307086615,1000.0,1070.0
5.87,1020.0,1070.0
4.84251968503937,1040.0,1070.0
3.8582677165354333,1050.0,1070.0
2.598425196850394,1060.0,1070.0
2.2,1065.0,1070.0
1.6,1070.0,1070.0